"キャラ詳細数値
※作業時は基本、各個人のローカルのスプシにコピーしてから作業!!
謎のコピーシート見つけたら、管理衛生上、削除してしまうのでご注意を。
↑↑運用定着したら注意表記削除します",,,,,,,,"※A列(A列)〜K列、「監修・企画」ID管理更新待ち。
↓↓↓(D列〜J列は作品表示順、自動出力数値etcに影響)",,,※↓手動,,0.0,※↓手動,※↓手動,"※新ワザ
追加時
メンテ必要","※新特性
追加時
メンテ必要",,,,※↓手動,,※↓手動,,,※↓手動,,※↓手動,,,※↓手動,"※新ワザ
追加時
メンテ必要",,,,,,,,,,,※↓手動,,,,"手動
※攻撃力との差し引きなし",,,,,,,※メンテ中,※メンテ中,,,※↓手動,,,"手動
※体力との差し引きなし",,,,,※↓手動,,※↓手動(レギュ参照),※↓半自動,※↓半自動,※↓半手動,※↓手動,※手動(指示書),※↓手動,※↓半手動,,"※↓手動
※UR以上は特性2つ",※↓半手動,,※半自動,"※指示書
※↓範囲指定手動",,,"※指示書
※↓範囲指定手動","※指示書
※↓範囲指定手動",,※SPキャラは手動,"封印
推しの子までのキャラ設計書の対象箇所が参照元になっているため。
キャラ設計書に全て値のみ貼り付けたら削除可能。",,,,"※↓手動
※Fes_UR以上は特性3つ",※↓半手動,,"封印
推しの子までのキャラ設計書の対象箇所が参照元になっているため。
キャラ設計書に全て値のみ貼り付けたら削除可能。",※↓手動,※↓手動,※↓手動,※↓手動,※↓手動,"※↓半手動
攻撃系倍率のみ自動",※効果時間がある必殺ワザの場合は、完凸時の効果時間を入力必須(CT計算に影響),,範囲対象数→,5,※↓手動,"※↓半手動
攻撃系倍率のみ自動",※効果時間がある必殺ワザの場合は、完凸時の効果時間を入力必須(CT計算に影響),,"※
必殺ワザ1、その他ワザと
差分ある時のみ指定
【対象範囲：DF列〜DK列】",,,
あやかしトライアングル,一子相伝の風使い 風巻 祭里,chara_aya_00001,PremiumUR,赤,テクニカル,※ID管理未記入,zangeki_1,zangeki_1,プラン確認,あやかしトライアングル いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.30,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.10,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,3,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
あやかしトライアングル,花奏 すず,chara_aya_00101,PremiumSSR,赤,ディフェンス,※ID管理未記入,zangeki_1,zangeki_1,プラン確認,あやかしトライアングル いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.90,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.50,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,1,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
あやかしトライアングル,香炉木 恋緒,chara_aya_00201,DropSR,黄,サポート,※ID管理未記入,dageki_1,-,プラン確認,あやかしトライアングル いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.40,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.30,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
あやかしトライアングル,二ノ曲 宗牙,chara_aya_00301,DropSR,緑,アタック,※ID管理未記入,shageki_1,shageki_1,プラン確認,あやかしトライアングル いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.20,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.30,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
サマータイムレンダ,(仮)南方 ひづる,chara_sum_00301,PremiumSSR,赤,調整中,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,不明,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
マリッジトキシン,不器用な毒使い 下呂 ヒカル,chara_mar_00001,PremiumUR,緑,テクニカル,※ID管理未記入,dageki_1,shageki_1,プラン確認,あやかしトライアングル いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.30,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.10,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,3,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
アラガネの子,灰,chara_ara_00001,DropSR,緑,アタック,中距離,zangeki_1,-,プラン確認,ハーフアニバーサリー,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.20,0.00,-0.10,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.30,0.00,0.00,0.00,0.00,75,75,0.0,1.5,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,中距離,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
ハイパーインフレーション,ルーク,chara_hyp_00001,DropSSR,緑,サポート,近距離,dageki_1,-,プラン確認,ハーフアニバーサリー,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.40,0.00,0.10,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.30,0.00,0.00,0.00,0.10,75,75,0.0,1.5,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),-,近距離,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
ゲーミングお嬢様,祥龍院 隆子,chara_gam_00001,PremiumSSR,黄,アタック,近距離,dageki_1,dageki_1,プラン確認,ハーフアニバーサリー,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.20,0.00,0.10,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.30,0.00,0.00,0.00,0.20,50,50,0.0,1.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),-,近距離,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
ラーメン赤猫,ハナ,chara_aka_00201,DropSR,赤,サポート,※ID管理未記入,-,-,プラン確認,2026年5月中旬のアニマル祭りで実装予定,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.40,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.30,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
ラーメン赤猫,サブ,chara_aka_00301,DropSR,緑,アタック,※ID管理未記入,dageki_1,shageki_1,プラン確認,2026年5月中旬のアニマル祭りで実装予定,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.20,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.30,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
マリッジトキシン,城崎 メイ,chara_mar_00101,PremiumSSR,黄,サポート,※ID管理未記入,dageki_1,-,プラン確認,あやかしトライアングル いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.40,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.30,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
マリッジトキシン,(仮)嬉野 シオリ,chara_mar_00301,DropSR,青,ディフェンス,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,あやかしトライアングル いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.90,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.50,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,1,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
シバつき物件,監修中,chara_sib_00001,PremiumUR,黄,ディフェンス,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,あやかしトライアングル いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.90,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.50,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,1,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
猫田びより,猫田さん,chara_nek_00001,PremiumSSR,黄,アタック,※ID管理未記入,dageki_1,dageki_1,プラン確認,あやかしトライアングル いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.20,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.30,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
マリッジトキシン,姫川 杏子,chara_mar_00201,DropSR,青,ディフェンス,※ID管理未記入,dageki_1,dageki_1,プラン確認,あやかしトライアングル いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.90,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.50,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,1,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
マリッジトキシン,音使い 鳴子,chara_mar_00401,DropSR,赤,テクニカル,※ID管理未記入,shageki_1,zangeki_1,プラン確認,あやかしトライアングル いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.30,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.10,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,3,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
忘却バッテリー,(仮)智将 要 圭,chara_bat_00102,PremiumUR,無,スペシャル,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,5.0,0.0,1,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),-,,※特性を選択!!(BW列),-,※ID管理未記入,,-,#VALUE!,,,-,#VALUE!,,,,-,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
忘却バッテリー,(仮)千早 瞬平,chara_bat_00201,DropSR,緑,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
忘却バッテリー,(仮)藤堂 葵,chara_bat_00301,DropSR,青,※ID管理未記入,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,※ID管理未記入,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
怪獣８号,識別怪獣兵器6 市川 レノ,chara_kai_00102,PremiumUR,黄,テクニカル,遠距離,shageki_1,※ID管理未記入,プラン確認,怪獣８号 2回目 いいジャン祭,※,655,600,中コスト,0,35.0,20.0,13.9,290,5.8,0.0,0.0,0.0,150,3.0,0.0,0.00,0.0,1030,20.6,0.0,13.43,-1.8,1.5,19.1,1,790,"6,455",5.3,2.6,1970,-0.30,0.00,-0.30,0.00,0.0,0.0,,2160,"17,654",720,"5,885",-,#VALUE!,#VALUE!,720,1310,0.00,0.10,0.00,0.00,0.00,0.00,150,150,0.0,3.0,(遠距離)攻撃を飛ばす系,3,35,0.61,0,普通,ダメージコマ無効化,-,0,突風コマ無効化,-,4,遠距離,範囲(小：威力減),0.5,0.72,遠距離,範囲(特大),0.5,1.02,,,,20.6,-,-,-,,攻撃(必殺),-,敵,All,All,100,-,"17,654",938,"4,692",氷結,-,1.5,-,-,-,-,-
怪獣８号,識別怪獣兵器1 鳴海 弦,chara_kai_00701,FestivalUR,黄,ディフェンス,近距離,※ID管理未記入,※ID管理未記入,プラン確認,怪獣８号 2回目 いいジャン祭,※,1000,1000,高コスト,-60,10.0,50.0,22.5,1960,39.2,0.0,0.0,0.0,1265,25.3,0.0,0.00,0.0,1805,36.1,0.0,12.90,-2.6,-,-,1,6600,"55,028",44.0,22.0,3000,0.90,0.00,0.10,0.00,0.0,0.20,,2100,"17,508",1050,"8,754",-,#VALUE!,#VALUE!,1050,2000,0.00,-0.50,0.00,0.20,0.00,0.00,100,100,0.0,2.0,(近距離)武器・道具・特殊攻撃,1,50,0.21,0,速い-速い,弱体化無効化,-,0,氷結攻撃無効化,80,4,近距離,範囲(小),0.75,0.32,中距離,単体(特大),1,0.62,,,,36.1,ダメージコマ無効化,-,6,,攻撃(必殺),-,敵,All,All,230,-,"40,268","1,149","5,747",ゼロリセット,10.00,-,-,-,-,-,-
怪獣８号,(仮)東雲 りん,chara_kai_00801,DropSR,黄,ディフェンス,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,怪獣８号 2回目 いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.90,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.50,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,1,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
怪獣８号,(仮)四ノ宮ヒカリ,chara_kai_00901,PremiumSSR,無,スペシャル,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,怪獣８号 2回目 いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,5.0,0.0,1,0,0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,該当なし,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),-,,※特性を選択!!(BW列),-,※ID管理未記入,,-,#VALUE!,,,-,#VALUE!,,,,-,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
MAD,(仮)ジョン（エイリアン形態）,chara_mad_00001,PremiumUR,青,アタック,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,MAD いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.20,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.30,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
MAD,(仮)パノ,chara_mad_00101,PremiumUR,赤,アタック,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,MAD いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.20,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,0.30,0.10,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),0,,※特性を選択!!(BW列),4,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
MAD,(仮)アルダ,chara_mad_00201,DropSR,赤,ディフェンス,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,MAD いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,0.90,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.50,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,1,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
MAD,(仮)ボブ,chara_mad_00301,DropSR,緑,サポート,※ID管理未記入,※ID管理未記入,※ID管理未記入,プラン確認,MAD いいジャン祭,※,0,0,,0,0.0,0.0,-2.5,225,4.5,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,250,5.0,0.0,0.00,0.0,-,-,0,0,0,0.0,0.0,0,-0.40,0.00,0.00,0.00,0.0,0.0,,※通常攻撃範囲を入力！(CD列),#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,0,0.00,-0.30,0.00,0.00,0.00,0.00,0,0,0.0,0.0,,2,※移動を入力！(BV列),※攻撃手段を入力(BQ列),0,,,※特性を選択!!(BW列),2,,※特性を選択!!(BW列),-,※ID管理未記入,,該当なし,#VALUE!,,,該当なし,#VALUE!,,,,5.0,-,-,-,,,,,,,,,-,0,0,-,-,-,-,-,-,-,-
